Station_ID,Name,Railway,Streetcar,Bus,Underground,07-ago,08-set,09-ott,10-nov,11-dic,dic-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20
4,Lanza,0,4,3,1,1,52,72,20,17,19,39,38,22,33,29,50,51
5,UniversitÂˆ Cattolica,0,4,5,1,8,152,66,32,38,35,35,51,34,25,18,18,29
6,S.Giorgio,0,7,1,2,11,117,159,31,43,60,93,72,32,35,38,65,42
7,S.Maria Beltrade,0,10,3,2,32,154,82,51,41,67,102,64,61,35,31,65,50
8,Velasca,0,7,5,1,9,138,97,19,20,27,33,48,25,19,28,10,21
9,S.Stefano,0,6,8,2,23,94,43,13,18,23,45,21,11,11,15,36,11
10,Missori,0,6,8,2,53,249,68,35,30,42,76,48,29,29,40,42,43
11,Castello Sforzesco,1,3,4,2,0,5,5,9,21,22,26,17,15,17,25,29,21
12,Colonne di S.Lorenzo,0,2,2,0,1,39,29,17,11,35,39,41,24,36,36,60,68
13,via Senato,0,1,3,1,43,63,77,13,17,13,14,25,15,14,15,15,11
